Name,Link
"Almgren, Jenny",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=7203
"Aloisi, Anna",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=7204
"Alps, Glen Earl",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2891
"Alston, Charles",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=36256
"Alt, Jakob",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=23829
"Alt, Jaroslav",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=24883
"Alt, Rudolf von",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=26510
"Altdorfer, Albrecht",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=72
"Altdorfer, Erhard",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2892
"Altdorffer, Erhard",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2892
Altichiero da Zevio,https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=24049
"Altman, Harold",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=2346
"Altmann, Jirí",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=24871
"Altomonte, Andreas",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=35909
"Altomonte, Martino",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=26345
"Altoon, John",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=5659
"Altshuler, Murray",https://web.archive.org/web/20120921180137/http://www.nga.gov/cgi-bin/tsearch?artistid=33130
